DISTRICT_CODE,DISTRICT_NAME,member_2015,instruction_2015,pupilstaffsupport_2015,admin_2015,operations_2015,transportation_2015,facility_2015,foodcommservice_2015,member_2016,instruction_2016,pupilstaffsupport_2016,admin_2016,operations_2016,transportation_2016,facility_2016,foodcommservice_2016,member_2017,instruction_2017,pupilstaffsupport_2017,admin_2017,operations_2017,transportation_2017,facility_2017,foodcommservice_2017,member_2018,instruction_2018,pupilstaffsupport_2018,admin_2018,operations_2018,transportation_2018,facility_2018,foodcommservice_2018,member_2019,instruction_2019,pupilstaffsupport_2019,admin_2019,operations_2019,transportation_2019,facility_2019,foodcommservice_2019,member_2020,instruction_2020,pupilstaffsupport_2020,admin_2020,operations_2020,transportation_2020,facility_2020,foodcommservice_2020,member_2021,instruction_2021,pupilstaffsupport_2021,admin_2021,operations_2021,transportation_2021,facility_2021,foodcommservice_2021,member_2022,instruction_2022,pupilstaffsupport_2022,admin_2022,operations_2022,transportation_2022,facility_2022,foodcommservice_2022,member_2023,instruction_2023,pupilstaffsupport_2023,admin_2023,operations_2023,transportation_2023,facility_2023,foodcommservice_2023
147,Appleton Area,15099,98723620,17835304,10925875,29310713,4710581,7392171,8358019,15397,98976643,17747093,10731949,31482002,4724177,5695715,6374223,15497,101769227,17785473,11700328,29755210,5097317,5220307,7202907,15434,105835152,18834176,11709156,30190337,4977761,8192852,7203088,15486,107945250.3,21770246.02,11924104.83,29792606.33,5515760.1,11299960.06,8039561.32,15477,109489518,20620541.75,11881806.12,28432576.51,4686694.85,12189296.6,8285645.08,14581,116708915.6,22912798.25,12259891.03,28757779.62,4670983.56,12121117.88,6806006.97,14825,118153348.5,23602693.37,12370071.11,31340738.86,5994197.51,14130353.47,9654362.55,14841,120840077.8,26700617.89,12469857.08,33440859.72,6019384.36,16047729.15,10965635.36
154,Arcadia,1190,9118233,1567117,1024262,1359080,571010,991126,615631,1239,8604382,1844283,1061124,1599649,520102,1355719,869079,1249,8737411,1958293,1084166,1745738,526463,1624323,794921,1325,9754118,1764695,1128543,1889975,554908,1578893,778449,1324,9816286.63,2030243.45,1171930.99,2169412.74,572307.28,2168953.78,840862.14,1352,10527466.1,2064311.58,1260895.74,1991239.37,584863.12,1978967.64,1180513.96,1255,10517650.63,2178670.18,1322284.41,2436294.04,520891.85,2536580.49,1228991.76,1315,11663197.04,2096427.71,1466330.45,2125850.49,716604.66,3108020.14,2519103.51,1344,12060684.54,2296930.99,1551368.8,2122658.39,749687.75,4430457.85,2615131.86
161,Argyle,347,2264410,227523,435754,559647,241257,499429,160032,330,2156841,289389,441143,454317,242845,427821,178064,311,2229422,188250,496281,468588,236665,583816,155337,303,2309285,238330,585657,514764,237305,479484,165710,298,2435662.85,254619.62,544727.06,484727.19,251540.19,597338.99,157452.84,290,2474719.49,223895.97,543659.47,463586.53,237108.58,594140.26,176670.14,286,2582968.51,218540.06,546424.36,484082.65,235615.6,591330.77,203220.17,270,2593476.47,322951.31,617884.52,689022.21,248942.24,579175,239312.59,277,2782516.98,280635.02,685126.12,594252.56,258425.27,601214.5,252921.63
2450,Arrowhead UHS,2222,14400828,2885376,2012617,4441766,983751,2799207,1332683,2164,14127181,2849861,1982350,4558091,1009186,3145765,1305382,2156,14839799,2948014,1988575,4748252,937618,2101868,1415307,2126,14651688,2959481,1987665,5045010,883175,1970901,1402903,2095,14948812.87,3007477.27,1973427.99,3926506.03,877665.83,3759026.09,1507964.66,2068,14768279.12,2928521.99,1973347.04,3912718.52,802147.37,3932344.25,1024587.36,2040,15125042.79,2984533.57,1979224.38,3672626.19,895912.48,2439653.37,811325.71,2000,16104134.63,3499128.58,2197801.79,3935089.86,1026842.61,2752183.68,1017138.86,1975,16384525.83,3559255.52,2147989.93,3967303.94,1181733.68,1479838.02,927193.77
170,Ashland,2184,14938588,2987094,2140949,4207042,1691400,439704,1190206,2147,14577140,2763027,2141590,4668763,1633220,384937,1110541,2123,15565362,2765577,2186255,3388654,1665410,1807332,1158043,2162,16122306,2864673,2227296,3258119,1802478,2227882,949738,2212,16179950.75,3154734.29,2196873.81,4221546.7,1868514.45,2311212.46,1079805.02,2205,16055731.8,3344682.22,2466411.28,3897201.53,1742086.54,3034097.43,1278241.11,2008,15092350.35,3744621.33,2395204.89,5225110.78,1279484.6,3220097.1,963996.72,1995,15464045.73,4535648.41,2704354.94,4465576.4,1793041.36,3201472.5,1330942.97,1997,15982231.09,4106313.34,2844609.73,4477526.31,1946252.9,3578035.94,1247755.18
182,Ashwaubenon,2361,14245760,2569297,2347169,4831944,1023808,1045747,1666955,2338,14954058,2744970,2537465,4774961,958790,950930,1672139,2316,14662821,2638057,2482802,5274213,943832,1343913,1879156,2285,15592141,2736985,2563687,4952361,1052291,1386668,2530581,2302,15968292.61,2944156.38,2703044.28,4860120.63,1099456.04,3016014.28,2358208.67,2299,15324503.57,2995155.47,2637308.86,4648877.47,980038.74,784458.12,2257709.25,2186,16165556.44,3978389.44,2720240.97,4720733.87,994274.1,1558694.94,1844929.07,2244,18673970.98,3607994.66,2944858.15,5459537.67,1181449.94,967106.9,2971372.78,2191,18684311.81,3641417.96,3003970.13,4911131.99,1250084.71,618480.5,2917324.93
196,Athens,430,3792384,415996,601659,590729,521206,102305,250030,421,3526716,354974,662856,515590,461987,115545,250479,440,3830348,337398,657752,605839,463981,78837,239036,445,3954526,447171,648647,596885,468546,234177,240218,428,3906688.66,480583.38,698206.35,867306.5,462904.7,12864.46,248069.15,446,4196690.19,533299.84,683377.72,723956.44,416157.26,31568.45,236010.68,403,4203618.4,667386.32,770713.85,832882.72,500717.83,134445.6,241741.05,464,4751804.86,1153636.75,1007040.27,893251.91,644238.98,489840.28,355307.29,463,4521403.39,1005792.27,1155842.45,956310.7,718144.89,323447.75,332342.38
203,Auburndale,815,5854966,784064,920219,1034931,587678,1079090,352604,803,5722623,731850,935893,942874,571040,1258754,342633,822,5543281,784666,891454,981155,579069,1471697,324331,808,5736393,726173,959460,1113569,595149,1050860,320004,773,5949118.17,895242.02,1155632.63,1250170.17,631332.62,582927.8,350613.62,766,6125192.72,689098.11,1078641.35,1289906.59,595801.53,81536.86,461538.72,748,6226475.63,737685.92,1067272.49,1108115.51,648352.43,59642.55,412915.62,754,6529450.81,754649.53,1168290.87,1058249.02,660384.14,930471.3,445720.99,803,7669385.47,1064326.56,1074417.6,1329919.61,702079.55,361859,504362.22
217,Augusta,628,4935829,776602,849155,1314059,417783,670132,509783,610,4889503,746424,883861,1201812,439476,2184175,501213,618,4816472,769613,943309,1433220,302309,506587,490817,587,4721084,746776,1003713,1553051,453585,648513,630681,609,4738527.06,881590.67,1026094.19,1663307.7,382924.14,650210,633276.89,605,4713073.39,969892.99,999119.14,1670080.94,306728.62,341046.2,678734.69,601,5132244.08,1267718.72,980004.52,1673546.01,417957.86,345025,725500.18,605,5865383.4,1282290.49,1136216.39,1929290.28,460114.17,568976.29,785031.29,604,6721176.97,1362063.28,1151079.46,1748857.44,356176.09,2146618.95,1620001.96
231,Baldwin-Woodville Area,1643,10112012,1847885,1134484,2125109,869133,1768423,1387131,1646,10287665,1820177,1241716,2557809,666281,2612581,1481636,1663,10808415,2005455,1277523,2179857,726351,3329003,1429810,1681,10745376,1979187,1386501,2155202,1278069,2631239,1455060,1712,11250637.64,1950673.12,1414835.29,2443805.32,744387.09,2809288.55,1678940.2,1692,11145244.76,2261118.45,1661571.81,2402488.89,710357.75,2606390.76,1464121.52,1645,12011318.18,2262363.56,1674397.1,2527104.23,839565.64,2993947.7,1308107.33,1651,12504492,2594760.45,1873445.32,2689522.32,957802.88,2665951.93,1738390.93,1644,12834008.56,2450668.58,1834641.82,3046495.91,789760.86,3181356.65,1997753.63
245,Bangor,593,4174263,810427,714826,798905,377939,872360,307242,594,4282609,742220,723121,773154,308075,784922,302869,608,4298816,861367,738127,776334,375728,579596,309475,616,4397532,845269,764479,833372,309332,755435,331061,606,4319292.26,643999.2,854757.47,1034897.8,423317.82,1153862.31,319323.12,626,4662916.9,724788.23,760491.14,1188358.71,336660.99,638994.91,304663.62,604,5297783.81,718476.03,821926.15,1018960.88,332098.41,879243.64,310507.2,654,5662377.52,766087.87,802803.34,1504925.53,505096.74,994781.17,377664.28,629,5271080.49,959980.78,852221.69,1426613.9,434649.44,1869970.75,402706.49
280,Baraboo,3038,20640326,3801679,2623714,4118594,1381383,942037,2019119,3043,20258865,3173461,2669736,4522880,1262925,2227024,2033488,2997,20495598,2963518,2699998,5111079,1283232,1684827,1948517,2984,21436788,3241287,2778160,4439641,1299986,3567697,2031500,3031,21620648.06,5036918.6,2877533.59,3662274.23,1298846.59,2533425.85,2039360.64,3012,22036161.87,4495877.17,2756007.99,4238011.12,1362859.04,6125423.7,1835153.91,2890,22431754.03,4973242.82,2773763.47,4348842.6,1278795.9,7235291.39,1656038.14,2889,23224207.25,5181158.83,2953092.44,4346447.33,1525600.02,8872672.42,2066994.86,2882,23895918.87,5851609.32,3007122.16,4916236.62,1564910.54,8726811.8,2157037.33
287,Barneveld,446,3720818,317709,496516,515957,219753,63327,213156,448,3747774,345860,537361,500064,229229,102892,196909,442,3913934,394551,509600,326026,117177,103189,200374,437,3615483,374808,509518,446915,145753,102970,202308,413,3526426.81,370287.68,503733.34,656793.16,218335.24,295937.05,180240.68,423,3935464.66,399568.78,514599.74,647855.1,189079.56,978493.02,156490.93,412,3285588.9,678991.35,522266.98,836850.39,94930.1,1449052.35,148942.77,436,3885723.45,760492.08,557627.18,663511.49,129390.68,993129.95,273958.28,418,3838509.44,884342.35,765587.26,720170.96,273154.96,1009298.58,236361.15
308,Barron Area,1440,10055484,1476405,1578244,4372971,980635,714238,883010,1458,10196603,1438668,1505882,4196017,970663,389170,957862,1437,11093036,1563731,1528920,3986002,846459,261698,864927,1457,11311355,1794637,1604159,3119181,940746,725849,966155,1431,11567777.58,1761975.81,1609832.58,3219660.79,977024.03,772155.95,996765.17,1376,11080739.98,1632017.97,1651616.74,3390433.49,883673.7,1574222.45,949749.08,1336,11934746.29,1614533.52,1582627.55,2987534.13,695609.5,1147785.5,1073784.63,1336,12283029.01,1606620.28,1871697.34,3626759.59,997349.06,1324448.26,1145950.41,1327,12750108.79,1792939.64,1950978.53,3655276.21,976692.54,1236160.36,1349365.71
315,Bayfield,416,4927612,1140707,931764,1338357,466431,468339,370011,412,4875713,1125149,833087,1202727,547574,826612,365240,403,5233709,1133301,846049,1320480,451299,757251,405195,416,5279756,1130249,885717,1239466,553650,611681,408268,440,5481304.66,1290038.98,871261.92,1266403.19,571083.14,1133949.51,422356.04,442,5588547.91,1371665.73,881574.9,1091569.44,605129.42,632870.44,592507.53,431,5949271.53,1487354.24,1334146.64,1472201.65,444457.67,499388.24,491049.73,432,7385299.86,1874300.94,1412034.54,1642404.25,494151.41,582324.89,485879.57,452,7938727.58,1986139.13,1374532.92,1482948.09,540678.21,1012958.35,658065.15
336,Beaver Dam,3556,24854686,4219931,3494306,5303842,1317977,905085,1806453,3537,23836340,4067073,3072046,5385823,1379159,1000908,1823400,3535,24156093,3898077,3128472,5748762,1535438,755955,2026559,3470,24559577,4073627,3222351,5978490,1542376,4197290,1732542,3497,25538501.52,4175489.46,3336606.52,6371921.45,1472319,3869647.38,1883772.72,3522,25932518.68,4433426.8,3309638.26,8628115.28,1411073.85,4148660.6,1765232.78,3456,25830569.77,4706030.98,3425331,6296835.67,1333033.84,8001476.89,2209877.81,3385,26588757.99,5051187.91,3416987.35,7356715.6,1363250.62,4748390.25,2742025.09,3285,27596313.28,5582208.32,3545512.27,6964158.26,1583019.21,7289886.89,2490085.63
4263,Beecher-Dunbar-Pembine,263,2263817,389318,453742,516487,153018,371319,119309,246,2285388,380109,466959,580865,150795,0,107945,265,2275539,343695,479880,510994,155712,21617,113026,256,2364793,368652,526775,462037,191487,    ,120701,237,2483076.92,398155.63,608066.11,536512.17,185646.85,39371.2,205060.13,242,2657089.3,421303.05,646028.68,627041.42,169055.72,5339.63,222522.7,241,2853123.63,555836.92,679867.7,697370.33,174654.26,17714.99,239847.46,258,2913724.65,570962.14,682966.99,592688.85,177762.19,187810.85,270142.14,259,3042987.24,506205.73,672501.95,656118.18,180583.02,9431.36,342943.94
350,Belleville,1033,6616106,884615,1254775,1687603,363312,626573,482006,1050,7023718,956341,1194271,1845234,285395,1093668,492946,987,6753154,1093536,1360444,1698215,273195,1406914,531009,953,7005319,1046472,1462041,1694613,263809,1382743,523692,960,6937955.71,1276782.35,1188416.75,1944175.38,383473.99,1069493.75,518055.07,953,6584892.7,1398587.21,1210337.89,1807438,267284.16,1978123.93,470216.22,918,6547472.7,1310723.24,1245067.07,1734662.17,224151.43,2806876.65,438623.38,952,7045409.56,1342109.44,1215605.75,1536086.19,423539.6,2734140.21,776838.28,945,7737093.46,1519576.58,1328355.05,1881188.01,329198.83,3518021.57,1197737.37
364,Belmont Community,358,2676160,263761,310659,733922,255368,337413,169196,363,2580664,260996,332667,899604,148457,337115,172939,365,2610999,272977,351264,765066,176632,382245,183370,361,2743692,295425,350206,843739,170191,385442,223863,376,2864066.9,377011.84,442065.02,707574.72,171934.95,336600,183671.62,376,2756106.33,417227.64,434278.83,749889.53,178091.44,1155217.42,209685.22,349,2798804.78,567009.24,508999.9,881084.05,145645.56,630600,230691.76,364,3018087.41,673979.3,556144.68,714839.86,252126.84,632200,251568.8,363,3188132.35,554974.54,491533.67,838718.13,376725.92,628200,296003.68
413,Beloit,7452,50737624,9513153,5975099,14075287,2189084,14035681,3833938,7379,51788554,10302553,6334834,14931512,2157636,10424601,4557962,7428,55156666,10405613,6272098,10330827,2188638,6592833,4420375,7394,52694708,10986861,6227705,14364468,2307690,8325349,4774824,7224,55755472.86,11673897.65,6720127.66,15379597.71,2565713.22,11144888.16,5641040.37,7101,53936200.23,11953531.16,7693704.47,13029445.95,2569709.35,13564532.08,5841016.8,6484,58937600.31,13109925.76,7818802.21,14133451.23,2354071.58,13165865.72,3906024.39,6636,63654108.93,15240886.2,8492217.06,14560359.16,2376940.21,10125355.33,4020559.13,6486,59978576.48,15100459.69,7896350.62,15947280.41,2401355.55,5033514.63,5032662.05
422,Beloit Turner,1271,7847278,1800598,1199138,2989846,865751,1373671,637057,1268,7571941,1920953,1233262,3156147,630270,1073637,646914,1225,7590901,1987583,1264517,2565498,772250,2889404,707202,1205,6873351,1838438,1303241,3383036,627173,680819,618695,1202,7142345.66,2172067.55,1389534.67,3108043.92,742878.92,2043406.54,583120.44,1224,7020741.72,2550067.41,1306068.98,3039072.63,620784.34,2231905.9,624610.84,1195,6820218.13,2536980.18,1380007.43,3078048.25,577869.03,4219132.22,580475.88,1255,7983237.6,2792840.22,1428021.26,3117337.74,865972.99,2759482.54,920182.2,1265,8304249.03,2876476.59,1416373.87,4085717.21,917529.4,2413287.5,944500.62
427,Benton,245,1764932,182698,437351,739563,123921,343430,143778,253,1827911,172610,516823,583038,119697,340530,162000,241,1827724,145573,527864,574785,131896,337645,164095,229,1743021,176775,473792,607755,141510,343840,169005,235,1928511.25,123994.49,624564.45,552312.82,147572.14,343665,176146.81,247,2138155.33,120812.79,550773.71,495214.38,122715.95,342370,167447.19,236,2105292.29,193954.59,542348.32,523428.65,104796.32,43007.95,221877.16,251,2377877.66,233770.1,665912.32,577147.54,153264.55,0,252776.27,257,2387843.03,233613.19,542170.86,743739.3,147099.87,0,249449.61
434,Berlin Area,1610,10687454,1985838,1310919,2410793,835945,1271371,763989,1586,10806934,2112588,1320669,2501675,858044,1410579,720373,1625,11227030,2276116,1368439,2267431,882555,1400658,738253,1643,11286683,2367386,1345136,2050446,960508,1510394,778492,1631,11650968.37,2395046.89,1482805.86,2320608.92,1034938.42,1574094.48,829151.8,1579,11952658.72,2317676.95,1496603.26,2183282.96,849751.04,1573599.98,910528.24,1534,12444173.32,2523940.36,1507368.26,2530674.62,880524.72,1582040,1164324.94,1511,12542427.59,2587880.87,1820701.91,2631675.15,1019549.85,2712065.64,1214912.75,1475,12252542.94,2351305.79,2072406.49,2393827.57,1100748.92,4305611.17,845632.19
6013,Big Foot UHS,542,4456697,992098,666436,1881543,326231,152572,717791,524,4407133,1011370,689473,1338356,313252,683613,823416,495,4160832,1062218,851726,1274548,382715,671272,815791,488,3994555,1070082,810906,1272542,337953,609560,830945,499,3494275.44,787738.11,805647.6,1522791.53,447440.76,645533.58,872752.91,510,3665409.99,750338.83,810192.86,1703328.9,287163.04,1965676.37,853300.15,505,3613358.85,629401.15,914034.23,2110626.55,309960.52,1528033.54,879815.49,515,3841463.02,683512.06,944748.93,2671357.69,325940.37,1772515.47,1056878.79,477,3715220.39,743059.43,1085192.7,2040509.25,442009.01,2930506.49,1173975.03
441,Birchwood,245,1990070,347032,601644,681914,291908,626172,293358,232,1835411,274866,628712,635322,298542,280881,277597,227,1798239,278017,617875,893970,278983,729344,328232,236,1769726,273379,608775,511771,289342,865404,276687,206,1677117.67,382741.36,595860.75,475417.15,282725.11,952356.06,338240.41,220,1647862.56,293943.73,628110.03,431294.13,228530.5,970137.4,346154.85,204,1649380.34,326728.18,643912.5,464296.45,296376.61,1044225.04,295979.52,206,1889018.42,441387.09,668326.02,506338.26,300832.59,106077.85,342530.45,203,2161010.1,479521.36,712936.52,529597.81,303854.02,129126.48,469136.84
2240,Black Hawk,389,2965836,350214,485650,741274,342652,0,175593,411,3039497,347505,491780,834117,188324,0,197915,390,2951885,423725,489557,704271,163660,37481,191254,399,3227134,309878,490150,469698,359639,78285,176860,416,3450694.79,394391.16,540934.42,661935.18,186513.86,178284.55,195360.6,404,3347868.39,367696.7,531146.17,683841.2,179734.26,200284.55,171227.17,397,3639153.4,428649.57,569790.22,1580936.34,370541.48,202526.33,226222.34,394,4053890.9,452898.76,591150.62,683874.12,198411.2,402434.3,246632.87,371,3965906.91,429199.85,621959.91,619831.23,204840.59,389587.6,241785.46
476,Black River Falls,1824,11634749,1952539,1937803,2900746,1053435,1495101,1126368,1803,11922078,1945378,1898595,2986098,975469,1941523,1126489,1762,12713697,1941307,1957241,2645004,972487,2181427,1023664,1760,12412367,2136398,2078459,2524011,1135321,2564905,1107944,1756,12576962.99,2306055.42,2104188.94,2595319.46,910664.09,2582381.74,1127347.5,1737,13613562.14,2356772.62,2088483.63,2624686.87,1156423.63,2083755.04,1250931.77,1713,14591386.52,2482938.65,2169999.14,2602606.9,781514.48,6339301.4,1393231.32,1697,15054201.82,2975408.62,2242795.72,2925034.96,984924.93,3994065.94,1263348.77,1703,15423491.97,3397592.01,2279206.85,4218616.51,1191983.43,3052226.27,1463602.8
485,Blair-Taylor,648,4280453,598888,724111,1008778,469647,1093139,363993,628,4289392,601855,725724,1060564,463046,1113225,344089,618,4362262,601354,740767,967496,449061,1156616,346656,628,4483722,582620,744086,1274320,468551,1014714,372965,638,4700312.51,745178.69,811057.71,1045547.55,459126.56,1235300.52,361619.21,661,4795911.34,784944.24,889229.87,1239132.52,413539.43,1233525,471442.39,633,5116868.3,982071.98,833677.69,1210895.44,455399.64,1416689.79,492620.16,662,5554498.91,1012236.49,887049.15,1436676.34,514683.08,1633391.61,921676.64,662,5851223.67,1080173.13,959389.73,1532905.48,538617.87,2366054.74,1166991.09
497,Bloomer,1235,7690660,982575,1334776,1667641,885495,1903171,472081,1278,7998035,986375,1383161,1716888,889517,1867877,490888,1268,8324249,1083763,1487472,1789935,949641,1945602,491006,1290,8332106,1164526,1474244,1934883,960272,1962253,498354,1284,8650571.27,1692190.34,1482666.28,1779148.35,998616.95,2089376.25,505821.74,1301,8793315.7,1583054.91,1585170.03,1802911.9,997119.7,2141461.9,516593.98,1197,9058867.21,1752323.54,1683700.74,1757655.95,869696.34,2190484.88,528439.21,1235,9623707.88,1926990.1,1654678.38,1512644.17,1047583.12,2250004.41,615047.32,1244,9954387.73,2044620.65,1626038.84,1805164.33,1051630.62,2314089.87,711169.1
